Paper Title: An evolutionary multiobjective sleep-scheduling scheme for differentiated coverage in wireless sensor networks
Citing Paper Number,Paper Title,Over-cite Count
1,Security of the internet of things: Perspectives and challenges,No PDF Found
2,Gaussian bare-bones differential evolution,4
3,A novel evolutionary approach for load balanced clustering problem for wireless sensor networks,1
4, Differential evolution with two-level parameter adaptation.,2
5,A novel differential evolution based clustering algorithm for wireless sensor networks,No PDF Found
6, Multiobjective optimization for topology and coverage control in wireless sensor networks,No PDF Found
7,Evolutionary multiobjective optimization in dynamic environments: A set of novel benchmark functions,1
8, iMASKO: A genetic algorithm based optimization framework for wireless sensor networks,No PDF Found
9,Self-optimization of coverage and capacity based on a fuzzy neural network with cooperative reinforcement learning,No PDF Found
10,Detection and diagnosis of node failure in wireless sensor networks: A multiobjective optimization approach,1
11,MOEA/D with Baldwinian learning inspired by the regularity property of continuous multiobjective problem,1
12,AMOF: adaptive multi-objective optimization framework for coverage and topology control in heterogeneous wireless sensor networks,1
13,SEPFL routing protocol based on fuzzy logic control to extend the lifetime and throughput of the wireless sensor network,4
14,ALARM: An energy aware sleep scheduling algorithm for lifetime maximization in wireless sensor networks,No PDF Found
15," Cluster-based routing performance optimization constraint of energy, delay and connectivity metrics in wireless sensor network",0
16, Wireless sensor network optimization: multi-objective paradigm,No PDF Found
17,ACWSN: an adaptive cross layer framework for video transmission over wireless sensor networks,2
18,Anycast tree-based routing in mobile wireless sensor networks with multiple sinks,25
19,Robustness analysis for node multilateration localization in wireless sensor networks,12
20,Node topology effect on target tracking based on UWSNs using quantized measurements,No PDF Found
21,A comparative study of QoS performance for location based and corona based real-time routing protocol in mobile wireless sensor networks,3
22,An overview of performance trade-off mechanisms in routing protocol for green wireless sensor networks,26
23,A new delay jitter smoothing algorithm based on Pareto distribution in Cyber-Physical Systems,9
24,Topology control models and solutions for signal irregularity in mobile underwater wireless sensor networks,0
25,A new clustering routing method based on PECE for WSN,No PDF Found
26,Boundary detection method for large-scale coverage holes in wireless sensor network based on minimum critical threshold constraint,No PDF Found
27,Energy harvesting and battery power based routing in wireless sensor networks,29
28,Distributed power-source-aware routing in wireless sensor networks,11
29,Load balancing ad hoc on-demand multipath distance vector (LBAOMDV) routing protocol,No PDF Found
30,A new sentinel approach for energy efficient and hole aware wireless sensor networks,1
,Total,133
"
"
Paper Title: Game dynamics and cost of learning in heterogeneous 4G networks
Citing Paper Number,Paper Title,Over-cite Count
1,On the partially overlapped channel assignment on wireless mesh network backbone: A game theoretic approach,2
2,"Decision-theoretic distributed channel selection for opportunistic spectrum access: strategies, challenges and solutions",1
3,[BOOK][B] Distributed strategic learning for wireless engineers,0
4,Coalitional games for resource allocation in the device-to-device uplink underlaying cellular networks,No PDF Found
5,An evolutionary game for distributed resource allocation in self-organizing small cells,No PDF Found
6,Dynamic robust games in mimo systems,2
7,Network selection in cognitive heterogeneous networks using stochastic learning,No PDF Found
8,Multiagent reinforcement learning with unshared value functions,5
9,Artificial intelligence based cognitive routing for cognitive radio networks,0
10,Self-optimization of coverage and capacity based on a fuzzy neural network with cooperative reinforcement learning,No PDF Found
11,Robust multiuser sequential channel sensing and access in dynamic cognitive radio networks: Potential games and stochastic learning,1
12," Mobile M2M communication architectures, upcoming challenges, applications, and future directions",No PDF Found
13,Distributed consensus of stochastic delayed multi-agent systems under asynchronous switching,7
14,Exploiting user demand diversity in heterogeneous wireless networks,No PDF Found
15,Machine learning based knowledge acquisition on spectrum usage for lte femtocells,No PDF Found
16,Co-Operation based resource selection in cognitive radio network via potential games,No PDF Found
17,Accelerating multiagent reinforcement learning by equilibrium transfer,No PDF Found
18,Large-scale games in large-scale systems,2
19,When reputation enforces evolutionary cooperation in unreliable MANETs,6
20,Mean-field-type optimization for demand-supply management under operational constraints in smart grid,2
21,Secure transmission design for cognitive radio networks with Poisson distributed eavesdroppers,14
22,Network selection in wireless heterogeneous networks,No PDF Found
23,Self-organized cognitive sensor networks: Distributed channel assignment for pervasive sensing,No PDF Found
24,A survey on applications of model-free strategy learning in cognitive wireless networks,1
25,Evolutionary game based dynamics of trust decision in WSNs,No PDF Found
26,Cooperation in wireless networks: a game-theoretic framework with reinforcement learning,5
27,Evidence combination from an evolutionary game theory perspective,0
28,Evolutionary game-based secrecy rate adaptation in wireless sensor networks,No PDF Found
29,An overview of performance trade-off mechanisms in routing protocol for green wireless sensor networks,26
30,A new delay jitter smoothing algorithm based on Pareto distribution in Cyber-Physical Systems,9
,Total,83
"
"
Paper Title: Power minimization based resource allocation for interference mitigation in OFDMA femtocell networks
Citing Paper Number,Paper Title,Over-cite Count
1,Recent advances in radio resource management for heterogeneous LTE/LTE-A networks,No PDF Found
2,Coalitional games for resource allocation in the device-to-device uplink underlaying cellular networks,No PDF Found
3,Cloud computing: Survey on energy efficiency,5
4,Energy-efficient resource assignment and power allocation in heterogeneous cloud radio access networks,No PDF Found
5,Interference-limited resource optimization in cognitive femtocells with fairness and imperfect spectrum sensing,1
6,LTE-unlicensed: the future of spectrum aggregation for cellular networks,0
7,Secrecy transmit beamforming for heterogeneous networks,1
8,A review on femtocell and its diverse interference mitigation techniques in heterogeneous network,1
9,Dense areas femtocell deployment: Access types and challenges,No PDF Found
10,Dynamic resource allocation in hybrid access femtocell network,No PDF Found
11,Interference management and power allocation for energy-efficient cognitive femtocell networks,2
12,Tier-aware resource allocation in ofdma macrocell-small cell networks,1
13,Game theoretic max-logit learning approaches for joint base station selection and resource allocation in heterogeneous networks,1
14," Mobile M2M communication architectures, upcoming challenges, applications, and future directions",No PDF Found
15,Optimal multi-dimensional dynamic resource allocation in mobile cloud computing,No PDF Found
16,Partially overlapping tones for uncoordinated networks,1
17,Secure transmission design for cognitive radio networks with Poisson distributed eavesdroppers,14
18,A strategy-proof combinatorial heterogeneous channel auction framework in noncooperative wireless networks,6
19,Analysis and experimental evaluation of rate adaptation with transmit buffer information,No PDF Found
20,Resource Optimization-Based Interference Management for Hybrid Self-Organized Small-Cell Network,0
21, A moving direction prediction-assisted handover scheme in LTE networks,No PDF Found
22, A beacon transmission power control algorithm based on wireless channel load forecasting in VANETs,No PDF Found
23,5G mobile terminals with advanced QoS-based user-centric aggregation (AQUA) for heterogeneous wireless and mobile networks,No PDF Found
24,A Rewarding Framework for Network Resource Sharing in Co-Channel Hybrid Access Femtocell Networks,4
25,Distributed network management for green wireless communications,1
26,Context-Aware User Association for Energy Cost Saving in a Green Heterogeneous Network with Hybrid Energy Supplies,9
27,Cooperative beamforming scheme using MIMO antenna array in LTE-A system,5
28,Modeling and simulating traffic congestion propagation in connected vehicles driven by temporal and spatial preference,29
29,On the Security of a User Equipment Registration Procedure in Femtocell-Enabled Networks.,No PDF Found
30, Modeling and performance analysis of state transitions for energy-efficient femto base stations,No PDF Found
,Total,81
"
"
Paper Title: Peer-to-peer media streaming: Insights and new developments
Citing Paper Number,Paper Title,Over-cite Count
1,TRANSIT: Supporting transitions in Peer-to-Peer live video streaming,0
2,Information‐centric networking and multimedia services: present and future challenges,2
3,A novel cooperative content fetching-based strategy to increase the quality of video delivery to mobile users in wireless networks,2
4,"In a Telco-CDN, pushing content makes sense",2
5,Balancing performance and fairness in P2P live video systems,1
6,Practical resource provisioning and caching with dynamic resilience for cloud-based content distribution networks,1
7,Reliability-oriented ant colony optimization-based mobile peer-to-peer VoD solution in MANETs,3
8, Supporting Transitions in Peer-to-Peer Video Streaming,0
9,Resource allocation algorithm based on social relation for video streaming services over p2p network,No PDF Found
10,Efficient startup segment selection and scheduling for mesh-pull peer-to-peer live streaming system,No PDF Found
11,Exploring the optimal substream scheduling and distribution mechanism for data-driven P2P media streaming,0
12,ACWSN: an adaptive cross layer framework for video transmission over wireless sensor networks,2
13,QoE in video streaming over wireless networks: perspectives and research challenges,No PDF Found
14,Locality-aware peer-to-peer multimedia delivery over next-generation optical networks,0
15, Impact of popularity evolution on P2P-based VoD delivery over next-generation optical access networks.,0
16,Design and analysis of scalable and interactive near video-on-demand systems,No PDF Found
17,Reciprocity with virtual nodes: Supporting mobile peers in Peer-to-Peer content distribution,1
18,Cooperative mobile live streaming considering neighbor reception,1
19,A new delay jitter smoothing algorithm based on Pareto distribution in Cyber-Physical Systems,9
20,Review of vehicular ad hoc network communication models including WVANET (Web VANET) model and WVANET future research directions,No PDF Found
21,A hybrid cloud-P2P architecture for multimedia information retrieval on VoD services,1
22, A beacon transmission power control algorithm based on wireless channel load forecasting in VANETs,No PDF Found
23,THash: A practical network optimization scheme for DHT-based P2P applications,1
24,Achieving maximum utilization of peer's upload capacity in p2p networks using SVC,0
25,Modeling and simulating traffic congestion propagation in connected vehicles driven by temporal and spatial preference,29
26,Videocent: a quality-oriented incentive mechanism for video delivery in opportunistic networks,6
27,Priority scheme for window-based video-on-demand transmission on BitTorrent-like Peer-to-Peer networks,No PDF Found
28,RVCloud: a routing protocol for vehicular ad hoc network in city environment using cloud computing,27
29,Analyzing and reducing impact of dynamic obstacles in vehicular ad-hoc networks,6
30,A framework for the design configuration of accountable selfish-resilient peer-to-peer systems,0
,Total,94
"
"
Paper Title: Web services composition: A decade’s overview
Citing Paper Number,Paper Title,Over-cite Count
1,Configuration of smart environments made simple: Combining visual modeling with semantic metadata and reasoning,1
2,Service composition in the cloud-based manufacturing focused on the industry 4.0,No PDF Found
3,Unified collaborative and content-based web service recommendation,No PDF Found
4,Toward a framework for automated service composition and execution: E-tourism Applications,0
5,Toward a framework for automated service composition and execution,No PDF Found
6,"Practical semantics for the Internet of Things: Physical states, device mashups, and open questions",1
7,Automated planning of process models: Design of a novel approach to construct exclusive choices,1
8,RESTful service composition at a glance: A survey,1
9,Redefining Data Provider: The REST approach To solve Indonesia Lecturer administrative problems,No PDF Found
10, Customized QoS-based mashups for the web of things: An application of AHP.,0
11,Dynamic Composite Web Service Execution by Providing Fault-Tolerance and QoS Monitoring,No PDF Found
12,Implementation of DeJong radio propagation algorithm as a virtual sensor for cloud services to enhance radio spectrum management,No PDF Found
13,Energy Management-as-a-Service Over Fog Computing Platform,18
14,Fitness Metrics for QoS-Aware Web Service Composition Using Metaheuristics,1
15, The RichWPS Environment for Orchestration,No PDF Found
16,A Framework for Transactional Service Selection Based on Crowdsourcing,No PDF Found
17,Combining Business Processes and Cloud Services: A Marketplace for Processlets,1
18,Utilizing Business Intelligence and Social Media Streams for optimized Web Service Compositions,No PDF Found
19,Flexible construction of executable service compositions from reusable semantic knowledge,No PDF Found
20,QoS-Aware Multigranularity Service Composition: Modeling and Optimization,No PDF Found
21,A Stitch in Time Saves Nine: Early Improving Code-First Web Services Discoverability,1
22, Optimizing the Reliability and Performance of Service Composition Applications with Fault Tolerance in Wireless Sensor Networks,No PDF Found
23,"A QoS-aware Approach for Runtime Discovery, Selection and Composition of Semantic Web Services",No PDF Found
24,Web Services Gateway: Taking Advantage of the Cloud,No PDF Found
25,QoS-Aware Web Service Composition Using Quantum Inspired Particle Swarm Optimization,No PDF Found
26,An Approach for QoS-aware Selection of Shared Services for Multiple Service Choreographies,No PDF Found
27,A constraint satisfaction method for configuring non-local service interfaces,2
28,Enhancing web services compositions with privacy capabilities,No PDF Found
29,Service Recommendation for Mashup Composition with Implicit Correlation Regularization,1
30, REST: An Approach to Solve the Server Problem during the Retrieval of Result,1
,Total,29
"
"
Paper Title: Evolutionary fuzzy multi-objective routing for wireless mobile ad hoc networks
Citing Paper Number,Paper Title,Over-cite Count
1, List of references on evolutionary multiobjective optimization,No PDF Found
2,An adaptive genetic fuzzy multi-path routing protocol for wireless ad-hoc networks,No PDF Found
3,A distributed composite multiple criteria routing using distance vector,No PDF Found
4,Multicriteria routing models in telecommunication networks–overview and a case study,No PDF Found
5,Multi objective genetic algorithm based adaptive QoS routing in MANET,No PDF Found
6,Routing optimization in vehicular networks: A new approach based on multiobjective metrics and minimum spanning tree,No PDF Found
7,Energy-and delay-efficient routing in mobile ad hoc networks,1
